# q	Intensity	Error	qError
4.899937891999318063e-01 7.984328302893221874e-02 2.923079292944373575e-02 8.057192919317659671e-05
4.954669715923923357e-01 1.067111563325326695e-01 2.834123482439297737e-02 7.975933083277056846e-05
5.008713575610570512e-01 5.681851360125649009e-02 2.864513420293090737e-02 7.977878477398752841e-05
5.062802342893181207e-01 6.709547178572830561e-02 2.873983068481246114e-02 7.979846101296492861e-05
5.117017393663254587e-01 8.341132948957914739e-02 2.840692739943621176e-02 7.848577003684492138e-05
5.171042152776009759e-01 7.859820649409028637e-02 2.900870246804922170e-02 7.903062651775065049e-05
5.225672993097458807e-01 7.687714260554877332e-02 2.817086820544839956e-02 7.725698574431118964e-05
5.279373898057811987e-01 8.029652394923036951e-02 2.808870806776473522e-02 7.907106750534933527e-05
5.332179133982893893e-01 7.903235008330476707e-02 2.794043853225687546e-02 7.856554854307331388e-05
5.386547963230446934e-01 3.854244414987677281e-02 2.703032071420015739e-02 7.540721906238372985e-05
5.441215787453648201e-01 1.296882123035415779e-02 2.846422826309965431e-02 7.758628307603408834e-05
5.495001660792746545e-01 2.073431067336621580e-02 2.803942917378913352e-02 7.614703956374044150e-05
5.548516851108789005e-01 4.458230552779779421e-02 2.792334291652812800e-02 7.688702584514381236e-05
5.602689408675397553e-01 6.603267644105485779e-02 2.692813037213531713e-02 7.503185947044799784e-05
5.657273894057259778e-01 5.056360964379765649e-02 2.656799830349390948e-02 7.482757196930691246e-05
5.711479272361492665e-01 6.024533922838513217e-02 2.702357406964948222e-02 7.552980218758553797e-05
5.765331883435156346e-01 3.677447147133771493e-02 2.650484512129874792e-02 7.442478552201511443e-05
5.818857178667034002e-01 8.016113918351590317e-02 2.683033166810068135e-02 7.534248855664137535e-05
5.872918012506160856e-01 7.440515862444249673e-02 2.615660666772318121e-02 7.317895110007243428e-05
5.927273397095595975e-01 4.793471330649604761e-02 2.645508567734582150e-02 7.383563136852915444e-05
5.979976002086393461e-01 1.956237149900499905e-02 2.757797193131166294e-02 7.730411810907367263e-05
6.034061663356329319e-01 5.698625013861061822e-02 2.700838815770129769e-02 7.565838070299103638e-05
6.089251273010282128e-01 4.607584627329973370e-02 2.774202444282433330e-02 7.835440660790659434e-05
6.143525154131307398e-01 3.524254209623560452e-02 2.771804476522871097e-02 7.863510024508639680e-05
6.197412419933066019e-01 6.655673289372582291e-02 2.838724137948723733e-02 8.025850034771302600e-05
6.251182344514154554e-01 3.786498937623748035e-02 2.860953631844586828e-02 8.055888860620195044e-05
6.305115710792165151e-01 4.863093749561619994e-03 2.905770454464912458e-02 8.003321110419532006e-05
6.359173676212169779e-01 2.289397662782022280e-02 2.901787994609999338e-02 8.232927638159922440e-05
6.412724683663342251e-01 1.832128347802255974e-02 2.894509877941348411e-02 8.119443554892060149e-05
6.466285237206897962e-01 1.572301119287074223e-02 2.899533933978997932e-02 8.328340344208840732e-05
6.520658228034604820e-01 1.646952545826572967e-02 2.848361441476089662e-02 8.096240388213921449e-05
6.575237899274372078e-01 3.112261235614446897e-02 2.864655611578961064e-02 8.273006959865599667e-05
6.629294490265700279e-01 3.335833566302604664e-02 2.911511641676629500e-02 8.367082750245873047e-05
6.683225286008289689e-01 1.281310610501779773e-02 2.852322944409328015e-02 8.248448825888642490e-05
6.737464522794230914e-01 4.083440894569968782e-02 2.862348009960628131e-02 8.435181416588189492e-05
6.791206293555097639e-01 5.697819749002330098e-02 2.889068327382443568e-02 8.375170790436857926e-05
6.844768725501015894e-01 2.031763637363685066e-02 2.981913161153073102e-02 8.472555916659952420e-05
6.899417069784540280e-01 2.566215258041321112e-03 2.962659660481224352e-02 8.349812308949033425e-05
6.953497259829333199e-01 1.096529458605423335e-02 3.129343692647632014e-02 8.478196625537489338e-05
7.007361073668159079e-01 2.042257461910913785e-02 2.952815088847791578e-02 8.235143204059650686e-05
7.060935570832375108e-01 3.716313175745727948e-02 2.752346835827197344e-02 7.854522321264843896e-05
7.114861135880685694e-01 2.639929288202960689e-02 2.735221430320799313e-02 7.857179970271239327e-05
7.169398153553429021e-01 4.751697044988925644e-02 2.696801791577464052e-02 7.570466586717894625e-05
7.223622917719079162e-01 9.081868859405359262e-03 2.664536050407557283e-02 7.642451305179179103e-05
7.277614630496254122e-01 2.032375015572308874e-02 2.646855509960949204e-02 7.530468731690117038e-05
7.331525028481501449e-01 1.814279867647494021e-02 2.628887746358237604e-02 7.444977297935508921e-05
7.385608486631140002e-01 3.119259351754195830e-02 2.590338029293275460e-02 7.426035047437538916e-05
7.440066699910827808e-01 1.487448746143676948e-03 2.536128295660285831e-02 7.262652829446963182e-05
7.493968976030724871e-01 -6.359868267329399361e-03 2.564002432150988553e-02 7.388724866747294431e-05
7.547874759187026550e-01 2.028975053535818363e-02 2.525503820684982942e-02 7.208328557237686995e-05
7.602297431156654905e-01 6.358208075084094413e-02 2.537722218884204406e-02 7.152866860342202719e-05
7.655622522894472981e-01 6.777589670752345863e-02 2.556673885363808588e-02 7.334089477112855425e-05
7.709176060749459714e-01 4.532246955238211639e-02 2.448943942134110957e-02 7.009641644282256934e-05
7.763924080381177095e-01 7.888842391525807685e-02 2.469631182833774766e-02 7.103914682090181284e-05
7.818032018932097316e-01 3.789074911922220290e-02 2.492876030716132535e-02 7.032896198567661840e-05
7.872356655600637465e-01 1.995208987753158136e-02 2.473899703610182854e-02 6.946574714495293453e-05
7.927049188380930200e-01 2.448479630529226680e-02 2.459826145549318804e-02 6.984388949065326773e-05
7.980347384569554947e-01 6.361064480731778992e-02 2.420381733854487863e-02 6.986979685681353046e-05
8.033929763694021009e-01 4.291367318581815887e-02 2.430856007118309403e-02 6.954388427427794154e-05
8.088212693637534256e-01 2.787947264322118007e-02 2.418351470325567562e-02 6.788570693817858753e-05
8.142491534232605410e-01 1.398000924734654066e-02 2.410012109331091321e-02 6.890812638574190391e-05
8.196434077966053833e-01 7.443365398157153479e-03 2.351741441113635450e-02 6.810103495302916325e-05
8.250162679522594633e-01 9.595722584454235982e-04 2.397397018757060211e-02 6.812726155406271687e-05
8.304349273974129808e-01 4.842379169973626274e-03 2.376889809574025958e-02 6.734919645876095680e-05
8.358483183974394493e-01 1.610636778564446259e-02 2.331480349575315580e-02 6.721802683670518664e-05
8.412490601515874022e-01 -1.833152133686302698e-03 2.312625734386865653e-02 6.724449757618569353e-05
8.466371178035755340e-01 -5.587378877758245044e-03 2.283023755309247435e-02 6.695890112009971363e-05
8.520503739082629924e-01 3.645706870426899948e-02 2.345325260148960894e-02 6.607421720483871443e-05
8.575219686900165117e-01 1.370823953033829812e-02 2.303334299665352192e-02 6.595264932499437518e-05
8.628910060132344295e-01 1.916766606188820971e-02 2.325490494220515750e-02 6.673140103931531769e-05
8.681900092961910564e-01 4.466919886010109475e-02 2.329014843320241501e-02 6.645376960753840564e-05
8.736087883647773999e-01 3.642759155456340436e-02 2.272668786295365881e-02 6.487872314278535593e-05
8.790500048994875915e-01 2.883186006877931640e-02 2.269083325087056097e-02 6.533108501661939727e-05
8.844613547318532776e-01 3.541778878322313084e-02 2.271521287989158519e-02 6.507322901718331522e-05
8.898556876117820202e-01 5.382644942147953027e-02 2.322685524303691115e-02 6.510010944828222110e-05
8.952746323716633814e-01 4.627967596789464566e-02 2.224641000664761073e-02 6.415826202529731120e-05
9.007066577007144526e-01 6.708309016749358644e-02 2.262589783693810114e-02 6.459536299113309685e-05
9.060847711959799655e-01 5.368273540542603528e-02 2.290506481482275716e-02 6.434797748642468731e-05
9.114398383739410470e-01 2.586857409207522773e-02 2.257156573551763121e-02 6.451173803167427356e-05
9.168483022530472537e-01 3.451210847239584434e-02 2.204925991624247933e-02 6.333769837486449654e-05
9.223032956888813638e-01 7.558374766493153318e-02 2.226593124422020925e-02 6.336498271341255595e-05
9.277197597131328077e-01 7.493914997013402524e-02 2.244426839203889773e-02 6.352252496862814473e-05
9.330523431112536237e-01 7.092055597454351157e-02 2.221507499067026936e-02 6.394549298917336761e-05
9.384312308946043402e-01 7.179181806243503661e-02 2.204618015205230680e-02 6.268054240994485661e-05
9.438987475714538666e-01 4.811169719507139841e-02 2.189900378223502003e-02 6.233524831705625376e-05
9.493108693656192587e-01 7.345150680876598448e-02 2.240536307592782758e-02 6.298806994118838032e-05
9.547266811069399228e-01 7.588381077039843547e-02 2.203004097889909099e-02 6.202337539718783487e-05
9.601198583782314389e-01 7.714790178597327741e-02 2.237330833011777834e-02 6.291686161906837548e-05
9.654921708272516945e-01 8.296886975872190539e-02 2.179413151310158683e-02 6.171750381079682502e-05
9.709312913856498195e-01 8.986757601684654262e-02 2.205943736104262060e-02 6.186473835464421933e-05
9.763003721635470367e-01 1.030666759064165494e-01 2.189752859659044315e-02 6.225527139279082856e-05
9.816567839070265977e-01 8.680032466828430104e-02 2.177087140798868517e-02 6.156297352460983496e-05
9.871031624180283126e-01 7.967668793575632957e-02 2.163435832176411472e-02 6.100940668656865617e-05
9.925075120997480793e-01 8.518446323285386312e-02 2.168016205282942768e-02 6.138424132067762723e-05
9.978736309857745290e-01 8.100753416980328858e-02 2.179447625797131458e-02 6.152912760702465122e-05
1.003266939145733616e+00 8.019727116832303659e-02 2.167088165674279851e-02 6.052646067985736927e-05
1.008745401479852477e+00 9.931092529079767195e-02 2.159224654714403044e-02 6.022228108590953308e-05
1.014215754017857574e+00 7.636658030118809171e-02 2.157450961497195743e-02 6.036070774060208388e-05
1.019561482446994072e+00 1.159244683633468276e-01 2.200465842872584982e-02 6.117785350289753571e-05
1.024909783592358403e+00 1.256389822760587971e-01 2.160736543638837326e-02 6.041629645957947254e-05
1.030334767856955214e+00 8.310126494091742144e-02 2.107261117558056202e-02 5.947233484409388806e-05
1.035692216859667836e+00 1.004628981990127873e-01 2.200287884270361524e-02 6.114857588607139230e-05
1.041095479626046760e+00 1.271659875329689826e-01 2.113810122187504900e-02 5.880281290835776502e-05
1.046543033395639588e+00 9.673006885140433830e-02 2.141895936079969004e-02 6.009173366892168100e-05
1.051935378234617691e+00 1.147863926735781526e-01 2.118872165135968558e-02 5.937475247787516689e-05
1.057361994336540878e+00 1.241523500181800355e-01 2.123877209397556642e-02 5.898930508611151225e-05
1.062716027238170158e+00 1.255828132291431642e-01 2.155825640668178680e-02 6.028670946013028382e-05
1.068059328640370120e+00 1.214571367450741068e-01 2.095837567287263739e-02 5.874036733392178788e-05
1.073518795922285163e+00 1.016311741157299581e-01 2.075990961940578708e-02 5.866838311407488967e-05
1.078970943207228084e+00 1.254630490936173015e-01 2.099637484699952081e-02 5.849716984985210477e-05
1.084377983353184138e+00 1.314894197724704727e-01 2.094121047441343392e-02 5.882664643114204970e-05
1.089758010176415493e+00 1.408490933406078283e-01 2.131994756194398322e-02 5.885534909890876855e-05
1.095204996711995449e+00 1.176118764896221247e-01 2.093550654679395343e-02 5.742315681055104408e-05
1.100627978288454933e+00 1.378708546147316971e-01 2.127020645806242116e-02 5.911723164900217553e-05
1.105992746138989569e+00 1.515152000110266406e-01 2.084270294135923476e-02 5.766867595459191216e-05
1.111392533857109566e+00 1.355602032483970154e-01 2.112408777010030964e-02 5.847185871542908260e-05
1.116781682668467779e+00 1.474622883560821052e-01 2.067456142252456497e-02 5.772611831392892846e-05
1.122193509892803975e+00 1.100291591815494574e-01 2.055545230086503264e-02 5.756606785759543527e-05
1.127605609779413154e+00 1.322634453131140142e-01 2.070181128311356436e-02 5.787952191769370745e-05
1.132991756494081237e+00 1.409584799149499745e-01 2.037601040577947942e-02 5.725114109919037393e-05
1.138399625779723534e+00 1.617032983981400440e-01 2.096209928818906082e-02 5.765337374979345524e-05
1.143850005512351276e+00 1.452043236197839704e-01 2.033962608114726553e-02 5.649540305800066517e-05
1.149289115168043551e+00 1.281822345791829298e-01 2.068300022841506117e-02 5.733911420101380640e-05
1.154678178564147562e+00 1.052602389739244332e-01 2.053630072136800738e-02 5.718428084697115379e-05
1.160033266507563443e+00 1.408074381034530587e-01 2.089299848686850675e-02 5.703095839612483257e-05
1.165421935638090378e+00 1.199696412764601761e-01 2.074015351868683382e-02 5.687948762039353511e-05
1.170882358846309756e+00 1.273750864456524023e-01 2.024754012733473787e-02 5.585857030955272939e-05
1.176288700516715302e+00 1.304115496297159615e-01 2.066299811520315791e-02 5.730275565248984181e-05
1.181664427600140232e+00 1.538384347182378264e-01 2.055481398626702108e-02 5.617417626258435664e-05
1.187088691941523999e+00 1.553703619552397885e-01 2.011523031123114980e-02 5.611746119278898068e-05
1.192505577521895788e+00 1.692653873758300231e-01 2.034277344204977328e-02 5.640718950011380621e-05
1.197931470134982801e+00 1.491569824286715917e-01 1.959668389504659602e-02 5.549994820897959433e-05
1.203322505065898884e+00 1.411969397980784857e-01 2.046560946371729639e-02 5.681982091998454996e-05
1.208712058921331378e+00 1.350647291579287201e-01 1.967567801954602652e-02 5.522897337195808168e-05
1.214115920079852362e+00 1.559195635338734010e-01 1.996637470328019998e-02 5.626625669658625516e-05
1.219516179382922560e+00 1.321817593001084756e-01 1.994053420111294508e-02 5.536993399719435539e-05
1.224917891072072385e+00 1.555881338209832987e-01 2.030172298376272527e-02 5.573138140842670476e-05
1.230285537396655471e+00 1.503952179764916908e-01 2.014299222292818478e-02 5.576119529637172946e-05
1.235743656047225691e+00 1.777845254859626301e-01 1.976860675328533795e-02 5.434224784381197720e-05
1.241164907231004921e+00 1.604442434130813333e-01 2.033734176633372054e-02 5.616028966570631544e-05
1.246504825644690895e+00 1.778763468682647009e-01 1.994458101431424366e-02 5.503178246032236720e-05
1.251930253393460424e+00 1.559536264987932963e-01 1.957226002752270391e-02 5.474365008284248421e-05
1.257363716237749562e+00 1.782458405405984991e-01 1.992115867260937229e-02 5.509223544327548552e-05
1.262752491333949623e+00 1.557183291356782351e-01 1.943184434448627651e-02 5.464651874087796910e-05
1.268152552474872463e+00 1.127175759656545012e-01 1.958839785781412920e-02 5.515274857755425602e-05
1.273544057208612745e+00 1.432526822442595771e-01 1.947613450403182928e-02 5.431902562067727114e-05
1.278974933441365369e+00 1.709827015691956220e-01 1.945651207162187729e-02 5.450346954703213197e-05
1.284364662928733081e+00 1.582831122220391407e-01 1.978500455584361953e-02 5.492518582566068599e-05
1.289734938570826994e+00 1.459894579819738247e-01 2.032555452188128733e-02 5.669805079818590062e-05
1.295094384489735573e+00 1.412815929619901656e-01 2.068303486144409953e-02 5.708077954005117159e-05
1.300491267872327938e+00 1.339324614516473888e-01 2.071747585241625819e-02 5.702429032070696347e-05
1.305888072891493668e+00 1.572064176549911041e-01 2.122154822418784864e-02 5.824039965321715478e-05
1.311317284736879030e+00 1.538123597566531386e-01 2.079947937114332707e-02 5.762644296635390521e-05
1.316727351153390124e+00 1.517681025585541355e-01 2.136483068172252003e-02 5.878244339551975701e-05
1.322191383880066962e+00 1.852973126288360584e-01 2.100646411021480850e-02 5.805968738507271125e-05
1.327618379600880916e+00 1.696378970211829817e-01 2.141239215013665542e-02 5.933822867251192925e-05
1.332903314945472095e+00 1.480194363592282625e-01 2.162025984556194963e-02 6.059565738041641737e-05
1.338261087646231307e+00 1.778780854800072198e-01 2.147367679167181548e-02 5.901297994584199839e-05
